GroomMB,BrideMB,GroomInc,BrideInc,Outcome
ISFP,ENTP,55770.44,81552.12,Failure
ENTP,ENTJ,32021.84,38165.21,Failure
ESFJ,ENTP,81285.78,30875.72,Success
ENTP,ISTP,87279.78,45798.28,Failure
ENFP,ENFP,51992.95,52274.31,Failure
ENTJ,ISFJ,69992.64,45940.44,Failure
ISFJ,ESTJ,41871.1,69618.87,Success
ISTP,ESTP,95703.84,42197.35,Success
ENTP,ISTP,53959.89,41007.11,Failure
ESFP,ESFJ,77603.93,92965.44,Failure
ISFP,ISTJ,32800.7,38159.94,Success
ESFJ,ISTP,43320.85,36557.76,Failure
ENTP,ISTP,34648.93,75488.47,Success
INFP,ENFJ,67409.26,32665.79,Success
ISTP,ESFP,42478.25,66334.02,Failure
ISTP,ESFP,42602.02,61917.79,Failure
ENTJ,INTJ,57317.64,66296.07,Success
ESTJ,ISTJ,36275.32,79981.26,Success
INTP,ESFP,66716.89,54568.06,Success
ESFJ,ESTP,71300.87,94339.16,Success
ISTP,ESFP,83675.11,83631.65,Success
ENTP,INFJ,43732.45,68141.34,Success
ISFJ,ISFP,66355.31,61384.94,Failure
INTJ,ENFP,54060.4,32596.2,Success
ESFJ,INFP,66546.43,32050.85,Failure
ESTJ,ENTJ,91509.16,40163.81,Success
INFP,ENFP,31270.13,57662.06,Failure
ESFJ,ISTJ,66565.42,42371.17,Failure
INFJ,ISTJ,54847.15,56907.43,Success
ENTP,ESFJ,69315.54,60814.96,Failure
ESTJ,ESFP,65740.39,92916.65,Failure
ENTJ,INTP,44622.27,35761.39,Failure
ESFJ,ENFJ,31284.72,85866.83,Failure
ESTP,INFJ,86949.87,64347.21,Failure
ESTJ,ESTJ,40251.58,61029.02,Failure
INTJ,ESTP,34895.74,55584.8,Failure
INTJ,INTP,47293.96,95244.11,Failure
ENTJ,ESFJ,78599.41,41974.27,Failure
INFP,ESFP,38160.7,74443.18,Failure
ENTJ,ESTP,59623.01,98629.94,Success
ENTJ,ESTJ,93833.42,35292.51,Failure
ESFJ,ENFP,41984.56,44241.07,Failure
ENFJ,ENFP,73141.43,63971.53,Failure
ISTJ,INFJ,45399.4,62203.37,Failure
ESFP,ENFP,82965.39,51358.99,Success
INTJ,ISFJ,50091.54,94214.42,Failure
ISFJ,ESTJ,63905.38,59304.67,Success
ENTP,ISTP,54642.58,50112.79,Failure
ESTJ,ENTP,36508.12,80337,Failure
ESTP,ESTP,77142.08,74833.65,Failure
INTJ,ESTP,52423.94,44459.67,Success
INTP,ESFJ,90198.84,61978.72,Success
INTP,ISFP,77223.13,71371.22,Failure
ENFP,ESFJ,82625.72,38177.25,Failure
ESTP,ESFP,37711.18,43675.86,Failure
ISFP,ISTP,99134.32,38487.57,Failure
INFP,INTJ,47734.34,51424.83,Success
INFP,ESTP,49414.44,98098.34,Failure
INTP,ENFJ,30422.25,33163.62,Failure
ENTP,ENTP,49690.37,79074,Failure
INFP,ENFP,66293.52,35561.42,Success
ESFJ,ESFJ,54614.32,38518.42,Failure
ISTP,ENFJ,83988.03,99581.01,Failure
ESTP,ESFP,48968.37,45569.06,Success
ESTJ,ESFJ,78725.19,54177.7,Success
ESFJ,ESFP,45148.94,77346.76,Success
INTJ,ISFP,42205.11,67698.74,Success
INFJ,ISTJ,86841.01,67645.57,Failure
ENFJ,ESFJ,71905.21,47163.73,Failure
INFJ,INFJ,47723.91,55024.77,Failure
ENFJ,ENFP,50256.68,60344.88,Success
INTP,ISTJ,72693.08,73762.55,Success
ENTP,ENFP,38463.92,88270.52,Failure
ENTP,ISFJ,32128.4,80957.26,Success
ENFJ,ISTJ,75794.18,75504.38,Failure
ISTP,ISTJ,50697.13,96942.9,Failure
INFJ,ISTJ,34668.83,62263.04,Success
ESFJ,INTP,71679.4,78932.55,Success
ENTP,ESFJ,77073.92,80467.04,Success
INTJ,ESFP,59071.19,98435.27,Failure
ESFP,ENFP,76390.13,74255.46,Success
ENFP,ESTP,43717.14,38553.4,Failure
ENTJ,ISFP,45712.74,32263.49,Failure
ESTP,ESFJ,53331.71,93486.61,Failure
ISFJ,ESTJ,93404.41,54579.11,Success
ESFJ,ESTP,86114.69,41807.75,Failure
ISFP,ENFP,34793.37,74372.92,Failure
ESTJ,INTJ,92193.9,91580.95,Failure
ISTJ,INFJ,66244.59,62367.72,Success
INTJ,ESFJ,40451.77,63788.91,Failure
ISTJ,ENTP,41677.74,34916.61,Success
INTJ,ESFP,94511.29,64035.15,Success
ENTP,ENTJ,74855.46,34120.32,Success
ISTJ,INFJ,30752.5,64097.24,Failure
INFJ,ENFP,91582.91,98511.32,Failure
ENTJ,INTJ,97178.12,79541.32,Failure
ISFP,ENTJ,63668.25,52468.12,Success
ESFP,INFJ,46724.6,76892.43,Success
ESTP,INFP,55023.58,85069.77,Success
ENFJ,INTP,86746.52,37448.32,Failure
ESFP,INFP,47290.71,46505.57,Failure
ISFJ,ESFJ,51341.93,69320.66,Failure
ISFJ,ESFJ,84822.21,93670.2,Failure
ESTJ,ENFJ,63613.63,63124.08,Success
ESTP,ISFP,80838.51,76380.87,Failure
ESFP,INTJ,93972.08,90081.33,Failure
ESFJ,ISFJ,97196.78,87608.85,Failure
ENFJ,INTP,78616.61,36421.65,Failure
ESFJ,ENTJ,37797.2,32964.49,Success
ENFP,ISTP,89363.32,83641,Failure
ISFJ,ISFJ,70671.36,91837.31,Failure
INFP,ESFP,75205.09,38936.73,Success
INFP,ESFJ,61953.15,57136.86,Success
INFP,ENTJ,31365.98,42376.61,Failure
ENFJ,INTP,63803.48,39178.04,Failure
ESTP,ISTJ,38630.13,44520.07,Success
ENFP,ISFP,89062.37,95416.93,Success
INTJ,ISFP,45162.32,62010.9,Success
INTP,ISFJ,87049.41,86120.5,Failure
ISFJ,ENFP,91891.82,56182.29,Success
ENTJ,ENTJ,62381.64,80310.01,Success
ESFP,ESFJ,82665.36,81606.52,Success
